"date","shrub_num","aspect","tag_num","treatment","species","plant_nr","dist_fr_shr","tp_color","flower_type","flower_count"
2021-07-21,30,"south",160,"control","AREFEN",2,NaN,"YS","old",0
2021-07-28,30,"south",160,"control","AREFEN",2,NaN,"YS","new",4
2021-07-28,30,"south",160,"control","AREFEN",2,NaN,"YS","old",15
2021-08-04,30,"south",160,"control","AREFEN",2,NaN,"YS","new",5
2021-08-04,30,"south",160,"control","AREFEN",2,NaN,"YS","old",7
2021-08-10,30,"south",160,"control","AREFEN",2,NaN,"YS","new",1
2021-08-10,30,"south",160,"control","AREFEN",2,NaN,"YS","old",0
2021-08-19,30,"south",160,"control","AREFEN",2,NaN,"YS","new",0
2021-08-19,30,"south",160,"control","AREFEN",2,NaN,"YS","old",0
2021-06-15,30,"south",160,"control","AREFEN",3,NaN,"BS","new",0
2021-06-15,30,"south",160,"control","AREFEN",3,NaN,"BS","old",0
2021-06-17,30,"south",160,"control","AREFEN",3,NaN,"BS","new",0
2021-06-17,30,"south",160,"control","AREFEN",3,NaN,"BS","old",0
2021-06-22,30,"south",160,"control","AREFEN",3,NaN,"BS","new",0
2021-06-22,30,"south",160,"control","AREFEN",3,NaN,"BS","old",0
2021-06-30,30,"south",160,"control","AREFEN",3,NaN,"BS","new",0
2021-06-30,30,"south",160,"control","AREFEN",3,NaN,"BS","old",0
2021-07-01,30,"south",160,"control","AREFEN",3,NaN,"BS","new",NaN
2021-07-01,30,"south",160,"control","AREFEN",3,NaN,"BS","old",NaN
2021-07-08,30,"south",160,"control","AREFEN",3,NaN,"BS","new",0
2021-07-08,30,"south",160,"control","AREFEN",3,NaN,"BS","old",0
2021-07-14,30,"south",160,"control","AREFEN",3,NaN,"BS","new",2
2021-07-14,30,"south",160,"control","AREFEN",3,NaN,"BS","old",0
2021-07-21,30,"south",160,"control","AREFEN",3,NaN,"BS","new",2
2021-07-21,30,"south",160,"control","AREFEN",3,NaN,"BS","old",0
2021-07-28,30,"south",160,"control","AREFEN",3,NaN,"BS","new",0
2021-07-28,30,"south",160,"control","AREFEN",3,NaN,"BS","old",2
2021-08-04,30,"south",160,"control","AREFEN",3,NaN,"BS","new",0
2021-08-04,30,"south",160,"control","AREFEN",3,NaN,"BS","old",0
2021-08-10,30,"south",160,"control","AREFEN",3,NaN,"BS","new",0
2021-08-10,30,"south",160,"control","AREFEN",3,NaN,"BS","old",0
2021-08-19,30,"south",160,"control","AREFEN",3,NaN,"BS","new",0
2021-08-19,30,"south",160,"control","AREFEN",3,NaN,"BS","old",0
2021-06-15,30,"south",160,"control","AREFEN",4,NaN,"OC","new",0
2021-06-15,30,"south",160,"control","AREFEN",4,NaN,"OC","old",0
2021-06-17,30,"south",160,"control","AREFEN",4,NaN,"OC","new",0
2021-06-17,30,"south",160,"control","AREFEN",4,NaN,"OC","old",0
2021-06-22,30,"south",160,"control","AREFEN",4,NaN,"OC","new",0
2021-06-22,30,"south",160,"control","AREFEN",4,NaN,"OC","old",0
2021-06-30,30,"south",160,"control","AREFEN",4,NaN,"OC","new",0
2021-06-30,30,"south",160,"control","AREFEN",4,NaN,"OC","old",0
2021-07-01,30,"south",160,"control","AREFEN",4,NaN,"OC","new",NaN
2021-07-01,30,"south",160,"control","AREFEN",4,NaN,"OC","old",NaN
2021-07-08,30,"south",160,"control","AREFEN",4,NaN,"OC","new",0
2021-07-08,30,"south",160,"control","AREFEN",4,NaN,"OC","old",0
2021-07-14,30,"south",160,"control","AREFEN",4,NaN,"OC","new",3
2021-07-14,30,"south",160,"control","AREFEN",4,NaN,"OC","old",0
2021-07-21,30,"south",160,"control","AREFEN",4,NaN,"OC","new",5
2021-07-21,30,"south",160,"control","AREFEN",4,NaN,"OC","old",4
2021-07-28,30,"south",160,"control","AREFEN",4,NaN,"OC","new",3
2021-07-28,30,"south",160,"control","AREFEN",4,NaN,"OC","old",6
2021-08-04,30,"south",160,"control","AREFEN",4,NaN,"OC","new",4
2021-08-04,30,"south",160,"control","AREFEN",4,NaN,"OC","old",4
2021-08-10,30,"south",160,"control","AREFEN",4,NaN,"OC","new",1
2021-08-10,30,"south",160,"control","AREFEN",4,NaN,"OC","old",0
2021-08-19,30,"south",160,"control","AREFEN",4,NaN,"OC","new",0
2021-08-19,30,"south",160,"control","AREFEN",4,NaN,"OC","old",0
2021-06-15,30,"south",160,"control","AREFEN",5,NaN,"GD","new",0
2021-06-15,30,"south",160,"control","AREFEN",5,NaN,"GD","old",0
2021-06-17,30,"south",160,"control","AREFEN",5,NaN,"GD","new",0
2021-06-17,30,"south",160,"control","AREFEN",5,NaN,"GD","old",0
2021-06-22,30,"south",160,"control","AREFEN",5,NaN,"GD","new",0
2021-06-22,30,"south",160,"control","AREFEN",5,NaN,"GD","old",0
2021-06-30,30,"south",160,"control","AREFEN",5,NaN,"GD","new",0
2021-06-30,30,"south",160,"control","AREFEN",5,NaN,"GD","old",0
2021-07-01,30,"south",160,"control","AREFEN",5,NaN,"GD","new",NaN
2021-07-01,30,"south",160,"control","AREFEN",5,NaN,"GD","old",NaN
2021-07-08,30,"south",160,"control","AREFEN",5,NaN,"GD","new",0
2021-07-08,30,"south",160,"control","AREFEN",5,NaN,"GD","old",0
2021-07-14,30,"south",160,"control","AREFEN",5,NaN,"GD","new",0
2021-07-14,30,"south",160,"control","AREFEN",5,NaN,"GD","old",0
2021-07-21,30,"south",160,"control","AREFEN",5,NaN,"GD","new",2
2021-07-21,30,"south",160,"control","AREFEN",5,NaN,"GD","old",0
2021-07-28,30,"south",160,"control","AREFEN",5,NaN,"GD","new",0
2021-07-28,30,"south",160,"control","AREFEN",5,NaN,"GD","old",1
2021-08-04,30,"south",160,"control","AREFEN",5,NaN,"GD","new",1
2021-08-04,30,"south",160,"control","AREFEN",5,NaN,"GD","old",0
2021-08-10,30,"south",160,"control","AREFEN",5,NaN,"GD","new",0
2021-08-10,30,"south",160,"control","AREFEN",5,NaN,"GD","old",0
2021-08-19,30,"south",160,"control","AREFEN",5,NaN,"GD","new",0
2021-08-19,30,"south",160,"control","AREFEN",5,NaN,"GD","old",0
2021-06-15,30,"south",160,"control","CARRUP",1,NaN,"GH","new",0
2021-06-15,30,"south",160,"control","CARRUP",1,NaN,"GH","old",0
2021-06-17,30,"south",160,"control","CARRUP",1,NaN,"GH","new",0
2021-06-17,30,"south",160,"control","CARRUP",1,NaN,"GH","old",0
2021-06-22,30,"south",160,"control","CARRUP",1,NaN,"GH","new",1
2021-06-22,30,"south",160,"control","CARRUP",1,NaN,"GH","old",0
2021-06-30,30,"south",160,"control","CARRUP",1,NaN,"GH","new",0
2021-06-30,30,"south",160,"control","CARRUP",1,NaN,"GH","old",1
2021-07-01,30,"south",160,"control","CARRUP",1,NaN,"GH","new",NaN
2021-07-01,30,"south",160,"control","CARRUP",1,NaN,"GH","old",NaN
2021-07-08,30,"south",160,"control","CARRUP",1,NaN,"GH","new",0
2021-07-08,30,"south",160,"control","CARRUP",1,NaN,"GH","old",0
2021-07-14,30,"south",160,"control","CARRUP",1,NaN,"GH","new",0
2021-07-14,30,"south",160,"control","CARRUP",1,NaN,"GH","old",0
2021-07-21,30,"south",160,"control","CARRUP",1,NaN,"GH","new",0
2021-07-21,30,"south",160,"control","CARRUP",1,NaN,"GH","old",0
2021-07-28,30,"south",160,"control","CARRUP",1,NaN,"GH","new",0
2021-07-28,30,"south",160,"control","CARRUP",1,NaN,"GH","old",0
2021-08-04,30,"south",160,"control","CARRUP",1,NaN,"GH","new",0
2021-08-04,30,"south",160,"control","CARRUP",1,NaN,"GH","old",0
2021-08-10,30,"south",160,"control","CARRUP",1,NaN,"GH","new",0
2021-08-10,30,"south",160,"control","CARRUP",1,NaN,"GH","old",0
2021-08-19,30,"south",160,"control","CARRUP",1,NaN,"GH","new",0
2021-08-19,30,"south",160,"control","CARRUP",1,NaN,"GH","old",0
2021-06-15,30,"south",160,"control","CARRUP",2,NaN,"BH","new",0
2021-06-15,30,"south",160,"control","CARRUP",2,NaN,"BH","old",0
2021-06-17,30,"south",160,"control","CARRUP",2,NaN,"BH","new",0
2021-06-17,30,"south",160,"control","CARRUP",2,NaN,"BH","old",0
2021-06-22,30,"south",160,"control","CARRUP",2,NaN,"BH","new",1
2021-06-22,30,"south",160,"control","CARRUP",2,NaN,"BH","old",0
2021-06-30,30,"south",160,"control","CARRUP",2,NaN,"BH","new",0
2021-06-30,30,"south",160,"control","CARRUP",2,NaN,"BH","old",1
2021-07-01,30,"south",160,"control","CARRUP",2,NaN,"BH","new",NaN
2021-07-01,30,"south",160,"control","CARRUP",2,NaN,"BH","old",NaN
2021-07-08,30,"south",160,"control","CARRUP",2,NaN,"BH","new",0
2021-07-08,30,"south",160,"control","CARRUP",2,NaN,"BH","old",0
2021-07-14,30,"south",160,"control","CARRUP",2,NaN,"BH","new",0
2021-07-14,30,"south",160,"control","CARRUP",2,NaN,"BH","old",0
2021-07-21,30,"south",160,"control","CARRUP",2,NaN,"BH","new",0
2021-07-21,30,"south",160,"control","CARRUP",2,NaN,"BH","old",0
2021-07-28,30,"south",160,"control","CARRUP",2,NaN,"BH","new",0
2021-07-28,30,"south",160,"control","CARRUP",2,NaN,"BH","old",0
2021-08-04,30,"south",160,"control","CARRUP",2,NaN,"BH","new",0
2021-08-04,30,"south",160,"control","CARRUP",2,NaN,"BH","old",0
2021-08-10,30,"south",160,"control","CARRUP",2,NaN,"BH","new",0
2021-08-10,30,"south",160,"control","CARRUP",2,NaN,"BH","old",0
2021-08-19,30,"south",160,"control","CARRUP",2,NaN,"BH","new",0
2021-08-19,30,"south",160,"control","CARRUP",2,NaN,"BH","old",0
2021-06-15,30,"south",160,"control","CARRUP",3,NaN,"YD","new",0
2021-06-15,30,"south",160,"control","CARRUP",3,NaN,"YD","old",0
2021-06-17,30,"south",160,"control","CARRUP",3,NaN,"YD","new",0
2021-06-17,30,"south",160,"control","CARRUP",3,NaN,"YD","old",0
2021-06-22,30,"south",160,"control","CARRUP",3,NaN,"YD","new",1
2021-06-22,30,"south",160,"control","CARRUP",3,NaN,"YD","old",0
2021-06-30,30,"south",160,"control","CARRUP",3,NaN,"YD","new",0
2021-06-30,30,"south",160,"control","CARRUP",3,NaN,"YD","old",1
2021-07-01,30,"south",160,"control","CARRUP",3,NaN,"YD","new",NaN
2021-07-01,30,"south",160,"control","CARRUP",3,NaN,"YD","old",NaN
2021-07-08,30,"south",160,"control","CARRUP",3,NaN,"YD","new",0
2021-07-08,30,"south",160,"control","CARRUP",3,NaN,"YD","old",0
2021-07-14,30,"south",160,"control","CARRUP",3,NaN,"YD","new",0
2021-07-14,30,"south",160,"control","CARRUP",3,NaN,"YD","old",0
2021-07-21,30,"south",160,"control","CARRUP",3,NaN,"YD","new",0
2021-07-21,30,"south",160,"control","CARRUP",3,NaN,"YD","old",0
2021-07-28,30,"south",160,"control","CARRUP",3,NaN,"YD","new",0
2021-07-28,30,"south",160,"control","CARRUP",3,NaN,"YD","old",0
2021-08-04,30,"south",160,"control","CARRUP",3,NaN,"YD","new",0
2021-08-04,30,"south",160,"control","CARRUP",3,NaN,"YD","old",0
2021-08-10,30,"south",160,"control","CARRUP",3,NaN,"YD","new",0
2021-08-10,30,"south",160,"control","CARRUP",3,NaN,"YD","old",0
